MeanInsideTemp,AVGHumidityInside,OutsideTemp,HumidityOutside,temp,rhum,wspd,pres,prcp
19.81578947,71.21052632,14.50263158,37.95789474,12,54,57.6,1014,0
20.84615385,80.65384615,14.6025641,37.38461538,9,76,38.9,1016,0
22.76578947,84.84473684,14.39210526,36.51315789,5.1,84,57.6,1016.8,0
23.97027027,74.8027027,15.48648649,38.76216216,4,87,42.5,1018,0.5
24.60555556,77.91111111,13.39166667,53.47777778,3,87,18.4,1020,0
22.47142857,89.58,9.474285714,76.32857143,2.7,82,18,1021.5,0
21.36388889,95.55277778,6.916666667,86.11666667,3,81,3.6,1021,0
21.13235294,92.91176471,5.552941176,87.82352941,3,81,11.2,1022,0
21.62571429,89.04857143,4.102857143,93.44571429,2,87,3.6,1021.8,0
21.45625,86.765625,3.228125,97.959375,0,93,3.6,1022,0
21.715625,86.09375,3.56875,95.275,0,93,3.6,1022,0
21.80740741,85.34074074,3.366666667,93.73333333,0.8,94,7.2,1022.1,0
21.546875,85.303125,2.196875,99.1875,1,93,7.6,1021,0
21.17058824,85.81764706,1.447058824,100,0,93,7.6,1021,0
21.04166667,85.625,0.586111111,100,0.1,96,3.6,1023,0
21.06341463,86.51219512,0.470731707,100,-1,93,3.6,1020,0
21.1225,86.91,0.5475,100,-1,93,7.6,1020,0
20.83414634,88.9195122,0.551219512,100,-1.1,97,3.6,1024.1,0
20.36,90.065,0.0225,100,-2,93,7.6,1020,0
19.84634146,91.08536585,0.004878049,100,1,93,3.6,1021,0
19.59268293,92.89512195,0.353658537,100,3.6,81,3.6,1023.6,0
20.57073171,94.59756098,0.975609756,100,6,65,3.6,1020,0
22.7875,87.375,2.4075,96.8725,8,61,3.6,1020,0
21.525,78.525,4.7525,84.1725,9.4,59,3.6,1021.3,0
23.24102564,74.47179487,6.446153846,74.88205128,11,50,3.6,1018,0
23.19487179,67.41794872,7.987179487,68.84358974,12,50,3.6,1016.5,0
24.68974359,66.26153846,10.84358974,55.25384615,14,42,3.6,1019.1,0
24.69487179,64.0025641,14.85897436,41.07948718,9,62,7.6,1019,0
21.79459459,62.20810811,16.08378378,38.66756757,8,61,18.4,1020,0
20.51842105,70.55526316,13.18947368,49.98684211,6.6,67,7.2,1023.4,0
18.86216216,70.80810811,10.59189189,49.8972973,6,70,7.6,1022,0
18.92571429,71.33714286,9.294285714,52.03428571,4,70,7.6,1021,0
19.65882353,74.47058824,6.094117647,75.13235294,3,77,7.2,1024.4,0
19.49411765,74.75294118,4.55,80.78235294,2,80,3.6,1022,0
19.28529412,80.83235294,4.282352941,81.59411765,3,75,7.6,1023,0
19.81515152,84.52121212,2.439393939,90.66969697,0.5,82,3.6,1025.6,0
20.06571429,84.86,2.394285714,89.57142857,0,86,3.6,1023,0
20.02352941,84.80882353,1.761764706,91.07352941,-1,86,3.6,1024,0
19.75675676,85.14594595,0.772972973,96.19459459,-1.2,91,3.6,1026.1,0
19.225,86.035,0.2975,98.57,0,80,3.6,1025,0
18.88378378,86.46756757,-0.448648649,99.81621622,-1,86,3.6,1026,0
18.56486486,87.7,-0.605405405,100,-1.5,91,3.6,1030.2,0
18.36764706,87.71764706,-0.844117647,99.97647059,-1,86,3.6,1028,0
18.15365854,88.57317073,-1.434146341,100,3,81,0,1029,0
17.935,89.655,-1.3225,100,4.1,72,7.2,1032.2,0
18.94634146,91.56341463,-0.97804878,99.98292683,8,53,3.6,1029,0
21.33,84.9575,1.07,91.3375,10,46,0,1028,0
24.08536585,78.98292683,2.953658537,81.05365854,11.3,42,7.2,1029,0
21.88974359,67.50769231,5.61025641,66.43076923,13,38,7.6,1026,0
23.44871795,63.25897436,8.128205128,57.58717949,14,36,3.6,1025,0
24.52631579,58.47631579,11.94473684,45.03421053,13.8,36,3.6,1026.4,0
23.03,61.4675,17.025,31.8475,13,28,14.8,1024,0
20.88108108,65.85135135,19.98918919,28.86756757,13,30,18.4,1024,0
18.83636364,75.31212121,15.91212121,36.34848485,12.6,30,14.4,1025.2,0
18.22571429,88.11714286,9.228571429,56.33428571,12,32,14.8,1023,0
20.675,85.628125,7.2625,63.2375,11,32,3.6,1023,0
21.25333333,83.81,5.193333333,72.04666667,10.8,34,10.8,1023,0
21.06785714,83.91071429,3.203571429,80.34642857,6,49,11.2,1021,0
20.68928571,84.87857143,3.353571429,78.94285714,6,49,14.8,1021,0
20.332,85.772,3.124,75.504,4.1,55,14.4,1020.7,0
19.932,87.724,2.196,78.912,6,49,11.2,1019,0
19.95185185,87.05555556,2.381481481,76.70740741,7,42,7.6,1019,0
19.975,87.11071429,2.042857143,76.91428571,6.5,46,10.8,1018,0
19.88333333,87.24722222,1.866666667,76.73333333,9,37,18.4,1017,0
19.79512195,87.93902439,1.619512195,76.94634146,6,49,11.2,1017,0
19.65609756,88.58536585,1.473170732,77.43902439,5.6,51,7.2,1016.9,0
19.4275,89.205,0.3475,84.3775,7,49,14.8,1017,0
19.28536585,89.80731707,-0.143902439,86.72439024,11,37,7.6,1017,0
19.195,90.1875,0.075,85.9125,14,30,18,1015.3,0
19.27073171,91.51707317,0.57804878,83.71219512,17,22,25.9,1016,0
21.2525,87.83,2.765,77.375,17,22,18.4,1015,0
22.3075,73.9975,5.4425,64.1075,17.7,20,14.4,1013.8,0
21.78421053,69.01052632,8.142105263,51.91052632,17,20,18.4,1015,0
24.77894737,63.16315789,11.46052632,45.68947368,16,23,18.4,1015,0
23.72105263,62.09736842,15.05263158,34.22894737,15,25,14.4,1014.4,0
20.95526316,61.66052632,15.59473684,28.79473684,12,41,14.8,1017,0
18.56578947,70.85526316,14.22105263,30.20263158,11,47,14.8,1018,0
21.26842105,85.05789474,14.19210526,30.89210526,10.7,51,10.8,1018.1,0
21.30263158,85.16315789,13.02631579,34.67894737,9,62,29.5,1019,0
19.00810811,70.61891892,11.28918919,49.26756757,8,76,22.3,1019,0
20.85277778,80.29722222,10.19722222,59.05555556,8.2,75,14.4,1019.2,0
20.91714286,83.95428571,9.994285714,61.22571429,6,93,35.3,1021,0.1
20.31666667,89.35,8.763888889,72.96111111,4,93,35.3,1022,0.4
20.57222222,87.09444444,8.083333333,85.36111111,3.7,86,32.4,1021.7,0.1
20.684375,87.06875,7.81875,92.58125,4,81,14.8,1023,0
20.70666667,86.5,5.94,100,3,87,14.8,1024,0
20.13714286,87.69714286,4.311428571,100,2.2,87,14.4,1025,0.1
20.14,87.3,3.9175,100,1,93,11.2,1026,0
20.0902439,87.40243902,3.773170732,100,1,93,7.6,1027,0.1
19.75121951,88.99756098,3.546341463,99.99756098,1.1,86,7.2,1029.4,0
19.5125,89.5225,3.095,100,1,93,11.2,1029,0
19.18292683,90.28780488,2.424390244,100,2,80,7.6,1030,0
18.32,91.9075,1.9825,100,2.2,79,7.2,1032.4,0
17.76829268,94.69512195,2.27804878,99.59512195,4,60,7.6,1030,0
19.9775,92.0575,2.6175,97.805,5,56,0,1030,0
21.6,87.0975,3.07,94.135,5.2,51,3.6,1030.9,0
23.8925,81.2775,4.37,76.4825,7,49,3.6,1028,0
24.98684211,71.71578947,5.328947368,67.43157895,7,49,7.6,1028,0
24.24871795,68.44102564,6.6,53.39230769,7,49,7.2,1029.9,0
22.42820513,69.73333333,10.73333333,36.99487179,6,52,11.2,1028,0
20.30526316,73.08947368,12.49210526,35.58421053,3,65,14.8,1028,0
17.96216216,79.35405405,9.748648649,44.39189189,1.6,70,3.6,1032.4,0
16.84411765,90.13529412,5.7,70.29117647,2,64,7.6,1029,0
18.82647059,88.73529412,3.3,77.28823529,-1,80,7.6,1029,0
19.47333333,87.00333333,2.02,84.32,-1.8,78,3.6,1033.1,0
19.47333333,86.78,0.926666667,88.56,-2,80,3.6,1028,0
19.31,86.76666667,-0.023333333,94.25666667,0,80,14.8,1028,0
19.159375,87.559375,0.2,96.2,-1,84,7.2,1031.1,0
19.54814815,87.13703704,-0.5,99.08148148,0,80,3.6,1027,0
19.66333333,86.65,-0.39,99.87666667,-2,86,3.6,1027,0
19.74358974,87.00512821,-0.871794872,100,-2.8,87,7.2,1030.6,0
19.455,87.18,-1.3925,100,-3,86,3.6,1026,0
18.96097561,88.31219512,-1.987804878,100,-3,93,0,1026,0
18.7,89.13414634,-2.465853659,100,-4.8,91,0,1032.1,0
18.48,89.71,-2.665,100,-3,93,3.6,1027,0
18.54390244,89.22439024,-3.141463415,100,-1,86,0,1027,0
18.515,89.005,-3.3875,100,0.4,77,7.2,1033,0
18.30243902,91.41463415,-2.556097561,100,3,65,7.6,1028,0
21.5325,90.55,-0.6,99.295,4,65,7.6,1027,0
24.64102564,84.42307692,0.48974359,91.11538462,5.3,58,10.8,1028.9,0
21.44615385,75.77435897,2.551282051,78.73846154,7,53,7.6,1025,0
21.32307692,76.06666667,4.543589744,70.00512821,9,46,3.6,1024,0
23.02702703,74.7972973,7.748648649,54.45945946,8.8,46,7.2,1026.7,0
22.6974359,73.9025641,11.27179487,38.61025641,6,56,7.6,1024,0
21.59487179,78.32820513,13.9025641,34.97435897,5,61,7.6,1024,0
20.73421053,85.99473684,11.25,43.30789474,2.5,72,3.6,1029.1,0
18.49189189,92.35945946,5.943243243,68.78378378,0,74,7.6,1024,0
19.17837838,91.0027027,3.724324324,75.48648649,0,80,0,1024,0
19.62432432,90.11351351,2.17027027,83.94594595,-1.6,82,3.6,1028.7,0
19.48648649,91.28918919,1.308108108,85.03783784,-2,93,0,1024,0
19.18055556,91.66111111,0.088888889,91.53611111,-2,86,0,1024,0
18.95588235,92.32647059,-0.388235294,94.40588235,-2.2,88,3.6,1027.2,0
18.91714286,91.96857143,-1.497142857,97.60571429,-3,86,0,1023,0
19.09189189,90.81891892,-1.7,97.37027027,-2,86,0,1023,0
19.10512821,90.80512821,-1.835897436,97.91538462,-3.6,90,0,1026.2,0
19.09268293,90.9804878,-2.341463415,99.82439024,-4,93,3.6,1023,0
18.98536585,91.3804878,-2.72195122,99.92926829,-5,93,3.6,1022.7,0
18.755,91.6975,-3.28,99.6125,-4.4,91,0,1027.7,0
18.57,91.8825,-3.9075,100,-4,86,0,1023,0
18.53,91.7575,-4.005,100,-2,86,0,1023,0
17.8804878,93.63414634,-4.234146341,100,2.7,67,0,1027,0
18.3675,93.5725,-3.755,99.6775,6,52,0,1022,0
21.85,88.8525,-2.185,92.61,8,42,7.6,1021,0
24.35384615,85.47179487,0.335897436,77.47179487,10.7,33,0,1022.1,0
26.25,81.1875,3.2175,64.04,11,32,0,1019,0
21.28205128,74.75384615,5.912820513,50.9025641,13,28,3.6,1018,0
23.77073171,69.26829268,10.15121951,37.27804878,13.7,25,0,1019.8,0
24.08974359,65.16666667,16.56410256,27.7025641,9,37,7.6,1018,0
22.46410256,66.73333333,18.33846154,26.18461538,6,49,7.6,1018,0
19.72564103,71.61025641,14.99230769,30.37435897,5.3,49,7.2,1022.3,0
